contract_id,page_area,name,content
8,0,title,Request for Consent to the Granting of Security Interest in the Economic Interest in an R3001 Contract CHECKLIST
8,1,point address,"A Security Agreement is an agreement that an Agency and Lender (Seller and/or third party providing financing) may choose to enter into that allows the Lender to obtain a security interest in the Agency’s economic interest in a book of business. The R3001 contract prohibits an agency from granting a security interest in the economic interest in a book of business without Allstate’s express consent. Completion of this form constitutes Allstate’s consent to the granting of a security interest in the economic interest in the book of business. Please note that it is the lender’s responsibility to properly file appropriate financing statements or other documents in order to secure their interest.
<b>It is important that both the Agent and the Lender review the following checklist before completing the attached Request for Consent to the Granting of Security Interest documents. Failure to properly complete the Request for Consent documents
will delay consent by Allstate to the granting of a security interest to the Lender. Please note that:
“Agent” – means the individual (whether Agency Owner or Key Person) who has signed the R3001 contract with Allstate “Agency” – means the entity (whether sole proprietorship or corporation/LLC)) who has an R3001 contract with Allstate “Agency Name” – means the entity named on the R3001 contract, not the DBA. Agency and Agency Name are the same.</b>"
8,2,name,"<b>The Request for Consent to the Granting of Security Interest package</b> is comprised of:
Request for Consent to the Granting of Security Interest Checklist
Granting of Security Interest in the Economic Interest in an R3001 Contract Notice to Lender (pages 1 & 2)
Security Agreement in Economic Interest (pages 3 – 5)
Information about how to release and replace Assignments and Security Interests
Information on the Notice of Termination website
<b>Fees </b>– A processing fee is required to enter into the Granting of Security Interest."
8,3,proc fee,Processing Fee $25
8,4,Granting,"Granting of Security Interest in the Economic Interest in an R3001 Contract and Security Agreement in Economic
Interest – Both the Agent and Lender will need to read, complete, and sign these documents."
8,5,para 01,"Each Agency location has its own R3001 contract and distinct Agent Number -- In order to obtain consent for a security interest in the economic interest in an R3001 contract on more than one location of an Agency, a separate Granting of Security Interest/Security Agreement must be submitted for each Agency location.
Business Entity -- The business entity shown on the Request for Consent documents must be the same business entity shown on the R3001 contract in order for Allstate to consent to the granting of a security interest.
Multiple Security Interests -- If the Agency has an existing Granting of Security Interest/Security Agreement and/or Assignment of TPP on file with Allstate, the Lender(s) in subordinate position(s) must provide written acknowledgement of their position in order for Allstate to consent to the granting of an additional security interest. A Lender may choose to acknowledge subordinate position in the top right corner of the Notice to Lender (green box).
Notice of Termination of Security Interest – Proper notice must be presented to Allstate before a security interest in the economic interest in an active R3001 contract can be terminated. Such notice will at a minimum contain a release letter signed by the Lender or a court order terminating the security interest. Such notice is not effective until received by Allstate.
Sale of Economic Interest -- Per the Exclusive Agency Independent Contractor Manual, an Agent selling the economic interest in an Agency’s book of business shall notify Allstate and the Lender of their intent to sell. The Seller shall also notify the Buyer of the existence of any existing security interests.
Election of Termination Payments -- Upon notification of the termination of the R3001 Agreement and the election of the termination payment option by the Agent, Allstate will contact the Lender to obtain the payoff amount. Allstate will make termination payments to the Lender until one of the following occurs: the specified payoff amount is reached; the Total Termination Payment Value for the location has been reached; or the Lender has provided a release letter. Any remaining termination payments will be paid by Allstate directly to the Agency."
8,6,Submission ,"Submission of the completed Security Interest documents to the Allstate Lending Connection®
Submit the completed documents via email, fax, or US mail.
If any incomplete or illegible documents are submitted, consent to the Granting of Security Interest will be
delayed. If Allstate is unable to consent to the Granting of Security Interest within 90 days for any reason, a new set of Consent to Granting of Security Interest documents will need to be submitted.
Both parties should expect to receive an approved copy of the Consent to the Granting of Security Interest/Security
Agreement in Economic Interest via email within 15 - 20 business days from the date the Request was submitted to Allstate.
Contact information for submission of the Consent to the Granting of Security Interest/Security Agreement documents
and questions"
8,7,para 02,"Allstate Lending Connection®,: Allstatelendingconnection@allstate.com , (847) 402-2191
Allstate Insurance Company, 2775 Sanders Rd., Northbrook, IL 60062, Attn: Allstate Lending Connection®, Suite B2S Fax: (877) 347-6175"
8,8,Footer,© 2015 Allstate Insurance Company                                                  SAG                                                  071/2017 
8,9,Conf,"Confirmation -- If Agent or Lender has not received an approved copy within 30 days of submission, please contact the Allstate
Lending Connection® to make certain that the Request for Consent to the Granting of Security Interest has been received and
approved."
